level	taxlevel	distance	points
intra	genus	0	1
intra	genus	0	1
intra	genus	0	1
inter	genus	0.0569	2
inter	genus	0.2602	2
inter	genus	0.2683	2
inter	genus	0.2764	2
inter	genus	0.1138	2
inter	genus	0.1382	2
intra	clade	0	3
intra	clade	0	3
intra	clade	0	3
intra	clade	0	3
inter	clade	0.2602	4
inter	clade	0.2683	4
inter	clade	0.2683	4
inter	clade	0.2764	4
inter	clade	0.2764	4
inter	clade	0.2764	4
inter	clade	0.2846	4
inter	clade	0.0244	4
inter	clade	0.1138	4
inter	clade	0.1382	4
inter	clade	0.1382	4
inter	clade	0.1057	4
inter	clade	0.1382	4
inter	clade	0.1057	4
inter	clade	0.122	4
inter	clade	0.122	4
inter	clade	0.0894	4
inter	clade	0.122	4
inter	clade	0.0488	4
inter	clade	0.0569	4
inter	clade	0.0569	4
inter	clade	0.0569	4
inter	clade	0.0569	4
inter	clade	0.0732	4
inter	clade	0.0407	4
inter	clade	0.0813	4
inter	clade	0.0163	4
inter	clade	0.0813	4
