Species1	distance	geneName	gene	avgdistance
C1	0.01829	ATP6	1	0.00698
C3	0.00533	ATP6	1	
C5	0.00000	ATP6	1	
C7	0.00428	ATP6	1	
C1	0.00000	COX1	2	0.00273
C3	0.00125	COX1	2	
C5	0.00075	COX1	2	
C7	0.00892	COX1	2	
C1	0.00278	COX2	3	0.01539
C3	0.03885	COX2	3	
C5	0.00217	COX2	3	
C7	0.01777	COX2	3	
C1	0.01093	COX3	4	0.01548
C3	0.02438	COX3	4	
C5	0.00000	COX3	4	
C7	0.02662	COX3	4	
C1	0.00176	CYTB	5	0.00401
C3	0.00529	CYTB	5	
C5	0.00212	CYTB	5	
C7	0.00688	CYTB	5	
C1	0.00975	NAD1	6	0.01003
C3	0.01166	NAD1	6	
C5	0.00522	NAD1	6	
C7	0.01351	NAD1	6	
C1	0.03226	NAD2	7	0.04365
C3	0.04784	NAD2	7	
C5	0.00773	NAD2	7	
C7	0.08677	NAD2	7	
C1	0.00000	NAD3	8	0.00000
C3	0.00000	NAD3	8	
C5	0.00000	NAD3	8	
C7	0.00000	NAD3	8	
C1	0.00935	NAD4	9	0.00937
C3	0.01640	NAD4	9	
C5	0.00237	NAD4	9	
C7	0.00937	NAD4	9	
C1	0.00000	NAD4L	10	0.00269
C3	0.00673	NAD4L	10	
C5	0.00404	NAD4L	10	
C7	0.00000	NAD4L	10	
C1	0.01972	NAD5	11	0.01981
C3	0.02645	NAD5	11	
C5	0.00877	NAD5	11	
C7	0.02431	NAD5	11	
C1	0.01207	NAD6	12	0.05105
C3	0.03936	NAD6	12	
C5	0.00643	NAD6	12	
C7	0.14635	NAD6	12	
C1	0.01246	CONCAT	13	0.01726
C3	0.02099	CONCAT	13	
C5	0.00402	CONCAT	13	
C7	0.03159	CONCAT	13	
