Species1	distance	geneName	gene	avgdistance
Cladtertia	0.005333333	ATP6	1	0.002666667
Hoilungia	0	ATP6	1	
Trichoplax	0.018290481	ATP6	1	
Cladtertia	0.001248439	COX1	2	0.000998752
Hoilungia	0.000749064	COX1	2	
Trichoplax	0	COX1	2	
Cladtertia	0.038847118	COX2	3	0.020510516
Hoilungia	0.002173913	COX2	3	
Trichoplax	0.002777778	COX2	3	
Cladtertia	0.024378146	COX3	4	0.012189073
Hoilungia	0	COX3	4	
Trichoplax	0.010928962	COX3	4	
Cladtertia	0.005291005	CYTB	5	0.003703704
Hoilungia	0.002116402	CYTB	5	
Trichoplax	0.001763668	CYTB	5	
Cladtertia	0.011661808	NAD1	6	0.0084396
Hoilungia	0.005217391	NAD1	6	
Trichoplax	0.009746589	NAD1	6	
Cladtertia	0.047844667	NAD2	7	0.027787068
Hoilungia	0.007729469	NAD2	7	
Trichoplax	0.032256715	NAD2	7	
Cladtertia	0	NAD3	8	0
Hoilungia	0	NAD3	8	
Trichoplax	0	NAD3	8	
Cladtertia	0.016404199	NAD4	9	0.009385532
Hoilungia	0.002366864	NAD4	9	
Trichoplax	0.009349371	NAD4	9	
Cladtertia	0.006734007	NAD4L	10	0.005387206
Hoilungia	0.004040404	NAD4L	10	
Trichoplax	0	NAD4L	10	
Cladtertia	0.026447106	NAD5	11	0.017610845
Hoilungia	0.008774584	NAD5	11	
Trichoplax	0.019718039	NAD5	11	
Cladtertia	0.039360572	NAD6	12	0.022893138
Hoilungia	0.006425703	NAD6	12	
Trichoplax	0.012072935	NAD6	12	
Cladtertia	0.020990638	CONCAT	13	0.012503379
Hoilungia	0.00401612	CONCAT	13	
Trichoplax	0.012464757	CONCAT	13	
