Species1	Species2	distance	geneName	gene
Hoilungea	Cladhexa	0.0347	ATP6	1
Trichoplacea	Hoilungea	0.0892	ATP6	1
Trichoplacea	Cladhexa	0.086	ATP6	1
Hoilungea	Cladhexa	0.0152	COX1	2
Trichoplacea	Hoilungea	0.0331	COX1	2
Trichoplacea	Cladhexa	0.029	COX1	2
Hoilungea	Cladhexa	0.0921	COX2	3
Trichoplacea	Hoilungea	0.0816	COX2	3
Trichoplacea	Cladhexa	0.0857	COX2	3
Cladhexa	Trichoplacea	0.114	COX3	4
Hoilungea	Cladhexa	0.0922	COX3	4
Hoilungea	Trichoplacea	0.1048	COX3	4
Hoilungea	Cladhexa	0.0387	CYTB	5
Trichoplacea	Hoilungea	0.0642	CYTB	5
Trichoplacea	Cladhexa	0.0615	CYTB	5
Hoilungea	Cladhexa	0.0623	NAD1	6
Trichoplacea	Hoilungea	0.0842	NAD1	6
Trichoplacea	Cladhexa	0.0787	NAD1	6
Hoilungea	Cladhexa	0.2357	NAD2	7
Trichoplacea	Hoilungea	0.3008	NAD2	7
Trichoplacea	Cladhexa	0.2646	NAD2	7
Hoilungea	Cladhexa	0.0745	NAD3	8
Trichoplacea	Hoilungea	0.1286	NAD3	8
Trichoplacea	Cladhexa	0.1016	NAD3	8
Hoilungea	Cladhexa	0.072	NAD4	9
Trichoplacea	Hoilungea	0.1465	NAD4	9
Trichoplacea	Cladhexa	0.1099	NAD4	9
Hoilungea	Cladhexa	0.027	NAD4L	10
Trichoplacea	Hoilungea	0.0253	NAD4L	10
Trichoplacea	Cladhexa	0.0379	NAD4L	10
Hoilungea	Cladhexa	0.1026	NAD5	11
Trichoplacea	Hoilungea	0.1851	NAD5	11
Trichoplacea	Cladhexa	0.1603	NAD5	11
Hoilungea	Cladhexa	0.3084	NAD6	12
Trichoplacea	Hoilungea	0.4069	NAD6	12
Trichoplacea	Cladhexa	0.3805	NAD6	12
Trichoplacea	Hoilungea	0.1481	CONCAT	13
Trichoplacea	Cladhexa	0.1332	CONCAT	13
Hoilungea	Cladhexa	0.1009	CONCAT	13
