Species1	Species2	distance	geneName	gene
Cladtertiidae	Hoilungidae	0.047	ATP6	1
Trichoplacidae	Cladtertiidae	0.0957	ATP6	1
Trichoplacidae	Hoilungidae	0.0871	ATP6	1
Cladtertiidae	Hoilungidae	0.0113	COX1	2
Trichoplacidae	Cladtertiidae	0.0325	COX1	2
Trichoplacidae	Hoilungidae	0.0333	COX1	2
Cladtertiidae	Hoilungidae	0.0814	COX2	3
Trichoplacidae	Cladtertiidae	0.0744	COX2	3
Trichoplacidae	Hoilungidae	0.0839	COX2	3
Cladtertiidae	Hoilungidae	0.0647	COX3	4
Cladtertiidae	Trichoplacidae	0.1131	COX3	4
Hoilungidae	Trichoplacidae	0.102	COX3	4
Cladtertiidae	Hoilungidae	0.0296	CYTB	5
Trichoplacidae	Cladtertiidae	0.0622	CYTB	5
Trichoplacidae	Hoilungidae	0.0649	CYTB	5
Cladtertiidae	Hoilungidae	0.0576	NAD1	6
Trichoplacidae	Cladtertiidae	0.0812	NAD1	6
Trichoplacidae	Hoilungidae	0.0853	NAD1	6
Cladtertiidae	Hoilungidae	0.1931	NAD2	7
Trichoplacidae	Cladtertiidae	0.3021	NAD2	7
Trichoplacidae	Hoilungidae	0.3004	NAD2	7
Cladtertiidae	Hoilungidae	0.056	NAD3	8
Trichoplacidae	Cladtertiidae	0.1118	NAD3	8
Trichoplacidae	Hoilungidae	0.1341	NAD3	8
Cladtertiidae	Hoilungidae	0.0515	NAD4	9
Trichoplacidae	Cladtertiidae	0.1543	NAD4	9
Trichoplacidae	Hoilungidae	0.1439	NAD4	9
Cladtertiidae	Hoilungidae	0.0146	NAD4L	10
Trichoplacidae	Cladtertiidae	0.0244	NAD4L	10
Trichoplacidae	Hoilungidae	0.0256	NAD4L	10
Cladtertiidae	Hoilungidae	0.1137	NAD5	11
Trichoplacidae	Cladtertiidae	0.1869	NAD5	11
Trichoplacidae	Hoilungidae	0.1845	NAD5	11
Cladtertiidae	Hoilungidae	0.2894	NAD6	12
Trichoplacidae	Cladtertiidae	0.4002	NAD6	12
Trichoplacidae	Hoilungidae	0.4091	NAD6	12
Cladtertiidae	Hoilungidae	0.088	CONCAT	13
Trichoplacidae	Cladtertiidae	0.1472	CONCAT	13
Trichoplacidae	Hoilungidae	0.1484	CONCAT	13
