Species1	Species2	distance	geneName	gene
Polyplacotoma	Trichoplax	0.2784	ATP6	1
Polyplacotoma	Cladtertia	0.2782	ATP6	1
Polyplacotoma	Hoilungia	0.261	ATP6	1
Polyplacotoma	Trichoplax	0.0725	COX1	2
Polyplacotoma	Cladtertia	0.0799	COX1	2
Polyplacotoma	Hoilungia	0.0809	COX1	2
Polyplacotoma	Trichoplax	0.1702	COX2	3
Polyplacotoma	Cladtertia	0.1833	COX2	3
Polyplacotoma	Hoilungia	0.1833	COX2	3
Polyplacotoma	Cladtertia	0.1188	COX3	4
Polyplacotoma	Hoilungia	0.0996	COX3	4
Polyplacotoma	Trichoplax	0.1239	COX3	4
Polyplacotoma	Trichoplax	0.2228	CYTB	5
Polyplacotoma	Cladtertia	0.2396	CYTB	5
Polyplacotoma	Hoilungia	0.2424	CYTB	5
Polyplacotoma	Trichoplax	0.1911	NAD1	6
Polyplacotoma	Cladtertia	0.1939	NAD1	6
Polyplacotoma	Hoilungia	0.1884	NAD1	6
Polyplacotoma	Trichoplax	0.4275	NAD2	7
Polyplacotoma	Cladtertia	0.4264	NAD2	7
Polyplacotoma	Hoilungia	0.4198	NAD2	7
Polyplacotoma	Trichoplax	0.2602	NAD3	8
Polyplacotoma	Cladtertia	0.2683	NAD3	8
Polyplacotoma	Hoilungia	0.2764	NAD3	8
Polyplacotoma	Trichoplax	0.2643	NAD4	9
Polyplacotoma	Cladtertia	0.2727	NAD4	9
Polyplacotoma	Hoilungia	0.2571	NAD4	9
Polyplacotoma	Trichoplax	0.1414	NAD4L	10
Polyplacotoma	Cladtertia	0.1246	NAD4L	10
Polyplacotoma	Hoilungia	0.1399	NAD4L	10
Polyplacotoma	Trichoplax	0.2688	NAD5	11
Polyplacotoma	Cladtertia	0.2973	NAD5	11
Polyplacotoma	Hoilungia	0.2902	NAD5	11
Polyplacotoma	Trichoplax	0.4068	NAD6	12
Polyplacotoma	Cladtertia	0.4053	NAD6	12
Polyplacotoma	Hoilungia	0.4183	NAD6	12
Polyplacotoma	Trichoplax	0.2383	CONCAT	13
Polyplacotoma	Cladtertia	0.2465	CONCAT	13
Polyplacotoma	Hoilungia	0.2414	CONCAT	13
