Species1	Species2	distance	geneName	gene
Hoilungea	Cladhexa	0.0347	ATP6	1
Polyplacotomea	Trichoplacea	0.2751	ATP6	1
Polyplacotomea	Hoilungea	0.2659	ATP6	1
Polyplacotomea	Cladhexa	0.2702	ATP6	1
Trichoplacea	Hoilungea	0.0892	ATP6	1
Trichoplacea	Cladhexa	0.086	ATP6	1
Hoilungea	Cladhexa	0.0152	COX1	2
Polyplacotomea	Trichoplacea	0.074	COX1	2
Polyplacotomea	Hoilungea	0.0792	COX1	2
Polyplacotomea	Cladhexa	0.0712	COX1	2
Trichoplacea	Hoilungea	0.0331	COX1	2
Trichoplacea	Cladhexa	0.029	COX1	2
Hoilungea	Cladhexa	0.0921	COX2	3
Polyplacotomea	Trichoplacea	0.1774	COX2	3
Polyplacotomea	Hoilungea	0.1821	COX2	3
Polyplacotomea	Cladhexa	0.1833	COX2	3
Trichoplacea	Hoilungea	0.0816	COX2	3
Trichoplacea	Cladhexa	0.0857	COX2	3
Cladhexa	Trichoplacea	0.114	COX3	4
Hoilungea	Cladhexa	0.0922	COX3	4
Hoilungea	Trichoplacea	0.1048	COX3	4
Polyplacotomea	Hoilungea	0.1079	COX3	4
Polyplacotomea	Cladhexa	0.1149	COX3	4
Polyplacotomea	Trichoplacea	0.1178	COX3	4
Hoilungea	Cladhexa	0.0387	CYTB	5
Polyplacotomea	Trichoplacea	0.2237	CYTB	5
Polyplacotomea	Hoilungea	0.2367	CYTB	5
Polyplacotomea	Cladhexa	0.2334	CYTB	5
Trichoplacea	Hoilungea	0.0642	CYTB	5
Trichoplacea	Cladhexa	0.0615	CYTB	5
Hoilungea	Cladhexa	0.0623	NAD1	6
Polyplacotomea	Trichoplacea	0.1924	NAD1	6
Polyplacotomea	Hoilungea	0.1901	NAD1	6
Polyplacotomea	Cladhexa	0.1951	NAD1	6
Trichoplacea	Hoilungea	0.0842	NAD1	6
Trichoplacea	Cladhexa	0.0787	NAD1	6
Hoilungea	Cladhexa	0.2357	NAD2	7
Polyplacotomea	Trichoplacea	0.4319	NAD2	7
Polyplacotomea	Hoilungea	0.4241	NAD2	7
Polyplacotomea	Cladhexa	0.4247	NAD2	7
Trichoplacea	Hoilungea	0.3008	NAD2	7
Trichoplacea	Cladhexa	0.2646	NAD2	7
Hoilungea	Cladhexa	0.0745	NAD3	8
Polyplacotomea	Trichoplacea	0.2622	NAD3	8
Polyplacotomea	Hoilungea	0.2764	NAD3	8
Polyplacotomea	Cladhexa	0.2764	NAD3	8
Trichoplacea	Hoilungea	0.1286	NAD3	8
Trichoplacea	Cladhexa	0.1016	NAD3	8
Hoilungea	Cladhexa	0.072	NAD4	9
Polyplacotomea	Trichoplacea	0.2649	NAD4	9
Polyplacotomea	Hoilungea	0.2629	NAD4	9
Polyplacotomea	Cladhexa	0.2404	NAD4	9
Trichoplacea	Hoilungea	0.1465	NAD4	9
Trichoplacea	Cladhexa	0.1099	NAD4	9
Hoilungea	Cladhexa	0.027	NAD4L	10
Polyplacotomea	Trichoplacea	0.1465	NAD4L	10
Polyplacotomea	Hoilungea	0.1332	NAD4L	10
Polyplacotomea	Cladhexa	0.1515	NAD4L	10
Trichoplacea	Hoilungea	0.0253	NAD4L	10
Trichoplacea	Cladhexa	0.0379	NAD4L	10
Hoilungea	Cladhexa	0.1026	NAD5	11
Polyplacotomea	Trichoplacea	0.2715	NAD5	11
Polyplacotomea	Hoilungea	0.2862	NAD5	11
Polyplacotomea	Cladhexa	0.2735	NAD5	11
Trichoplacea	Hoilungea	0.1851	NAD5	11
Trichoplacea	Cladhexa	0.1603	NAD5	11
Hoilungea	Cladhexa	0.3084	NAD6	12
Polyplacotomea	Trichoplacea	0.4189	NAD6	12
Polyplacotomea	Hoilungea	0.4239	NAD6	12
Polyplacotomea	Cladhexa	0.4118	NAD6	12
Trichoplacea	Hoilungea	0.4069	NAD6	12
Trichoplacea	Cladhexa	0.3805	NAD6	12
Polyplacotomea	Trichoplacea	0.2403	CONCAT	13
Polyplacotomea	Hoilungea	0.2423	CONCAT	13
Trichoplacea	Hoilungea	0.1481	CONCAT	13
Polyplacotomea	Cladhexa	0.2377	CONCAT	13
Trichoplacea	Cladhexa	0.1332	CONCAT	13
Hoilungea	Cladhexa	0.1009	CONCAT	13
