Species1	Species2	distance	geneName	gene
Polyplacotomidae	Trichoplacidae	0.2751	ATP6	1
Polyplacotomidae	Cladtertiidae	0.2782	ATP6	1
Polyplacotomidae	Hoilungidae	0.2618	ATP6	1
Polyplacotomidae	Trichoplacidae	0.074	COX1	2
Polyplacotomidae	Cladtertiidae	0.0799	COX1	2
Polyplacotomidae	Hoilungidae	0.0789	COX1	2
Polyplacotomidae	Trichoplacidae	0.1774	COX2	3
Polyplacotomidae	Cladtertiidae	0.1833	COX2	3
Polyplacotomidae	Hoilungidae	0.1818	COX2	3
Polyplacotomidae	Cladtertiidae	0.1188	COX3	4
Polyplacotomidae	Hoilungidae	0.1043	COX3	4
Polyplacotomidae	Trichoplacidae	0.1178	COX3	4
Polyplacotomidae	Trichoplacidae	0.2237	CYTB	5
Polyplacotomidae	Cladtertiidae	0.2396	CYTB	5
Polyplacotomidae	Hoilungidae	0.2358	CYTB	5
Polyplacotomidae	Trichoplacidae	0.1924	NAD1	6
Polyplacotomidae	Cladtertiidae	0.1939	NAD1	6
Polyplacotomidae	Hoilungidae	0.1889	NAD1	6
Polyplacotomidae	Trichoplacidae	0.4319	NAD2	7
Polyplacotomidae	Cladtertiidae	0.4264	NAD2	7
Polyplacotomidae	Hoilungidae	0.4233	NAD2	7
Polyplacotomidae	Trichoplacidae	0.2622	NAD3	8
Polyplacotomidae	Cladtertiidae	0.2683	NAD3	8
Polyplacotomidae	Hoilungidae	0.2791	NAD3	8
Polyplacotomidae	Trichoplacidae	0.2649	NAD4	9
Polyplacotomidae	Cladtertiidae	0.2727	NAD4	9
Polyplacotomidae	Hoilungidae	0.2596	NAD4	9
Polyplacotomidae	Trichoplacidae	0.1465	NAD4L	10
Polyplacotomidae	Cladtertiidae	0.1246	NAD4L	10
Polyplacotomidae	Hoilungidae	0.1361	NAD4L	10
Polyplacotomidae	Trichoplacidae	0.2715	NAD5	11
Polyplacotomidae	Cladtertiidae	0.2973	NAD5	11
Polyplacotomidae	Hoilungidae	0.2826	NAD5	11
Polyplacotomidae	Trichoplacidae	0.4189	NAD6	12
Polyplacotomidae	Cladtertiidae	0.4053	NAD6	12
Polyplacotomidae	Hoilungidae	0.4301	NAD6	12
Polyplacotomidae	Trichoplacidae	0.2403	CONCAT	13
Polyplacotomidae	Cladtertiidae	0.2465	CONCAT	13
Polyplacotomidae	Hoilungidae	0.2409	CONCAT	13
