Species1	Species2	distance	geneName	gene
C1	C2	0.0505	ATP6	1
C1	C3	0.1	ATP6	1
C1	C4	0.0837	ATP6	1
C1	C5	0.0956	ATP6	1
C1	C6	0.092	ATP6	1
C1	C7	0.0863	ATP6	1
C2	C3	0.0827	ATP6	1
C2	C4	0.0677	ATP6	1
C2	C5	0.0797	ATP6	1
C2	C6	0.068	ATP6	1
C2	C7	0.0688	ATP6	1
C3	C4	0.0467	ATP6	1
C3	C5	0.0507	ATP6	1
C3	C6	0.0467	ATP6	1
C3	C7	0.0411	ATP6	1
C4	C5	0.0357	ATP6	1
C6	C4	0.024	ATP6	1
C6	C5	0.04	ATP6	1
C6	C7	0.0176	ATP6	1
C7	C4	0.0244	ATP6	1
C7	C5	0.0218	ATP6	1
C1	C2	0.0187	COX1	2
C1	C3	0.0337	COX1	2
C1	C4	0.0369	COX1	2
C1	C5	0.0354	COX1	2
C1	C6	0.0312	COX1	2
C1	C7	0.0328	COX1	2
C2	C3	0.0287	COX1	2
C2	C4	0.0281	COX1	2
C2	C5	0.0303	COX1	2
C2	C6	0.0225	COX1	2
C2	C7	0.0277	COX1	2
C3	C4	0.0175	COX1	2
C3	C5	0.0085	COX1	2
C3	C6	0.0156	COX1	2
C3	C7	0.0139	COX1	2
C4	C6	0.0169	COX1	2
C4	C7	0.0113	COX1	2
C5	C4	0.0097	COX1	2
C5	C6	0.0154	COX1	2
C5	C7	0.0136	COX1	2
C7	C6	0.0138	COX1	2
C1	C2	0.0347	COX2	3
C1	C3	0.0583	COX2	3
C1	C4	0.0556	COX2	3
C1	C5	0.0639	COX2	3
C1	C6	0.0639	COX2	3
C1	C7	0.0586	COX2	3
C2	C3	0.1227	COX2	3
C2	C4	0.1314	COX2	3
C2	C5	0.1569	COX2	3
C2	C6	0.1513	COX2	3
C2	C7	0.1512	COX2	3
C3	C4	0.0728	COX2	3
C3	C5	0.0853	COX2	3
C3	C6	0.07	COX2	3
C3	C7	0.0778	COX2	3
C4	C5	0.0778	COX2	3
C4	C6	0.0926	COX2	3
C4	C7	0.0615	COX2	3
C5	C6	0.1033	COX2	3
C5	C7	0.0729	COX2	3
C6	C7	0.0952	COX2	3
C2	C1	0.0899	COX3	4
C3	C1	0.1136	COX3	4
C3	C2	0.1116	COX3	4
C3	C4	0.0297	COX3	4
C3	C5	0.0719	COX3	4
C3	C6	0.0869	COX3	4
C3	C7	0.0645	COX3	4
C4	C1	0.0996	COX3	4
C4	C2	0.0961	COX3	4
C4	C5	0.0427	COX3	4
C4	C6	0.0712	COX3	4
C4	C7	0.0403	COX3	4
C5	C1	0.1042	COX3	4
C5	C2	0.1021	COX3	4
C5	C6	0.1076	COX3	4
C5	C7	0.066	COX3	4
C6	C1	0.1215	COX3	4
C6	C2	0.0915	COX3	4
C7	C1	0.1049	COX3	4
C7	C2	0.0869	COX3	4
C7	C6	0.0787	COX3	4
C1	C2	0.0326	CYTB	5
C1	C3	0.0608	CYTB	5
C1	C4	0.0564	CYTB	5
C1	C5	0.0734	CYTB	5
C1	C6	0.0573	CYTB	5
C1	C7	0.0461	CYTB	5
C2	C3	0.0661	CYTB	5
C2	C4	0.0608	CYTB	5
C2	C5	0.0831	CYTB	5
C2	C6	0.0741	CYTB	5
C2	C7	0.0586	CYTB	5
C3	C4	0.0273	CYTB	5
C3	C5	0.039	CYTB	5
C3	C6	0.0326	CYTB	5
C3	C7	0.0148	CYTB	5
C4	C5	0.0407	CYTB	5
C4	C6	0.0344	CYTB	5
C4	C7	0.0185	CYTB	5
C5	C6	0.0513	CYTB	5
C5	C7	0.0412	CYTB	5
C6	C7	0.025	CYTB	5
C1	C2	0.043	NAD1	6
C1	C3	0.0855	NAD1	6
C1	C4	0.0898	NAD1	6
C1	C5	0.0907	NAD1	6
C1	C6	0.0849	NAD1	6
C1	C7	0.0945	NAD1	6
C2	C3	0.0681	NAD1	6
C2	C4	0.0601	NAD1	6
C2	C5	0.0647	NAD1	6
C2	C6	0.0601	NAD1	6
C2	C7	0.0689	NAD1	6
C3	C4	0.0555	NAD1	6
C3	C5	0.0557	NAD1	6
C3	C6	0.0496	NAD1	6
C3	C7	0.0616	NAD1	6
C4	C5	0.0362	NAD1	6
C4	C6	0.0585	NAD1	6
C4	C7	0.0282	NAD1	6
C5	C6	0.0696	NAD1	6
C5	C7	0.0545	NAD1	6
C6	C7	0.0642	NAD1	6
C1	C2	0.1911	NAD2	7
C1	C3	0.3048	NAD2	7
C1	C4	0.305	NAD2	7
C1	C5	0.3064	NAD2	7
C1	C6	0.2667	NAD2	7
C1	C7	0.2942	NAD2	7
C2	C3	0.2939	NAD2	7
C2	C4	0.288	NAD2	7
C2	C5	0.2965	NAD2	7
C2	C6	0.2583	NAD2	7
C2	C7	0.2944	NAD2	7
C3	C4	0.177	NAD2	7
C3	C5	0.1993	NAD2	7
C3	C6	0.2261	NAD2	7
C3	C7	0.188	NAD2	7
C4	C5	0.176	NAD2	7
C4	C6	0.2228	NAD2	7
C4	C7	0.1637	NAD2	7
C5	C6	0.2473	NAD2	7
C5	C7	0.1553	NAD2	7
C6	C7	0.2302	NAD2	7
C1	C2	0.0244	NAD3	8
C1	C3	0.1138	NAD3	8
C1	C4	0.1382	NAD3	8
C1	C5	0.1382	NAD3	8
C1	C6	0.1057	NAD3	8
C1	C7	0.1382	NAD3	8
C2	C3	0.1057	NAD3	8
C2	C4	0.122	NAD3	8
C2	C5	0.122	NAD3	8
C2	C6	0.0894	NAD3	8
C2	C7	0.122	NAD3	8
C3	C4	0.0488	NAD3	8
C3	C5	0.0569	NAD3	8
C3	C6	0.0569	NAD3	8
C3	C7	0.0569	NAD3	8
C4	C5	0.0569	NAD3	8
C4	C6	0.0732	NAD3	8
C4	C7	0.0407	NAD3	8
C5	C6	0.0813	NAD3	8
C5	C7	0.0163	NAD3	8
C6	C7	0.0813	NAD3	8
C1	C2	0.0773	NAD4	9
C1	C3	0.1515	NAD4	9
C1	C4	0.1361	NAD4	9
C1	C5	0.1394	NAD4	9
C1	C6	0.1073	NAD4	9
C1	C7	0.1468	NAD4	9
C2	C3	0.1627	NAD4	9
C2	C4	0.1406	NAD4	9
C2	C5	0.1486	NAD4	9
C2	C6	0.1178	NAD4	9
C2	C7	0.1593	NAD4	9
C3	C4	0.0375	NAD4	9
C3	C5	0.0556	NAD4	9
C3	C6	0.0813	NAD4	9
C3	C7	0.0495	NAD4	9
C4	C5	0.0442	NAD4	9
C4	C6	0.0542	NAD4	9
C4	C7	0.0315	NAD4	9
C5	C6	0.0715	NAD4	9
C5	C7	0.0399	NAD4	9
C6	C7	0.0696	NAD4	9
C1	C2	0.0303	NAD4L	10
C1	C3	0.0168	NAD4L	10
C1	C4	0.0101	NAD4L	10
C1	C5	0.0243	NAD4L	10
C1	C6	0.0303	NAD4L	10
C1	C7	0.0101	NAD4L	10
C3	C2	0.0471	NAD4L	10
C3	C4	0.0067	NAD4L	10
C3	C5	0.0209	NAD4L	10
C3	C6	0.0269	NAD4L	10
C3	C7	0.0067	NAD4L	10
C4	C2	0.0404	NAD4L	10
C4	C5	0.0142	NAD4L	10
C4	C6	0.0202	NAD4L	10
C4	C7	0	NAD4L	10
C5	C2	0.0548	NAD4L	10
C5	C6	0.0324	NAD4L	10
C6	C2	0.0606	NAD4L	10
C7	C2	0.0404	NAD4L	10
C7	C5	0.0142	NAD4L	10
C7	C6	0.0202	NAD4L	10
C1	C2	0.092	NAD5	11
C1	C3	0.19	NAD5	11
C1	C4	0.1762	NAD5	11
C1	C5	0.2018	NAD5	11
C1	C6	0.1627	NAD5	11
C1	C7	0.1711	NAD5	11
C2	C3	0.1775	NAD5	11
C2	C4	0.1627	NAD5	11
C2	C5	0.1825	NAD5	11
C2	C6	0.1532	NAD5	11
C2	C7	0.1574	NAD5	11
C3	C4	0.0805	NAD5	11
C3	C5	0.1322	NAD5	11
C3	C6	0.0906	NAD5	11
C3	C7	0.0939	NAD5	11
C4	C5	0.089	NAD5	11
C4	C6	0.0701	NAD5	11
C4	C7	0.0417	NAD5	11
C5	C6	0.1257	NAD5	11
C5	C7	0.0883	NAD5	11
C6	C7	0.0869	NAD5	11
C1	C2	0.352	NAD6	12
C1	C3	0.3939	NAD6	12
C1	C4	0.3883	NAD6	12
C1	C5	0.3868	NAD6	12
C1	C6	0.3715	NAD6	12
C1	C7	0.4273	NAD6	12
C2	C3	0.419	NAD6	12
C2	C4	0.4561	NAD6	12
C2	C5	0.4185	NAD6	12
C2	C6	0.4074	NAD6	12
C2	C7	0.4554	NAD6	12
C3	C4	0.2697	NAD6	12
C3	C5	0.2829	NAD6	12
C3	C6	0.3107	NAD6	12
C3	C7	0.3068	NAD6	12
C4	C5	0.2239	NAD6	12
C4	C6	0.2575	NAD6	12
C4	C7	0.1834	NAD6	12
C5	C6	0.3138	NAD6	12
C5	C7	0.2542	NAD6	12
C6	C7	0.3141	NAD6	12
C1	C2	0.0922	CONCAT	13
C1	C3	0.1473	CONCAT	13
C1	C4	0.1436	CONCAT	13
C1	C5	0.1508	CONCAT	13
C1	C6	0.1331	CONCAT	13
C1	C7	0.1452	CONCAT	13
C2	C3	0.1468	CONCAT	13
C2	C4	0.1433	CONCAT	13
C2	C5	0.1512	CONCAT	13
C2	C6	0.1336	CONCAT	13
C2	C7	0.1473	CONCAT	13
C3	C4	0.0755	CONCAT	13
C3	C5	0.0932	CONCAT	13
C3	C6	0.0952	CONCAT	13
C3	C7	0.0837	CONCAT	13
C4	C5	0.0751	CONCAT	13
C6	C4	0.0874	CONCAT	13
C6	C5	0.1101	CONCAT	13
C6	C7	0.0958	CONCAT	13
C7	C4	0.0582	CONCAT	13
C7	C5	0.0748	CONCAT	13
