Species1	Species2	distance	geneName	gene
Cladtertia	Hoilungia	0.0507	ATP6	1
Trichoplax	Cladtertia	0.1	ATP6	1
Trichoplax	Hoilungia	0.0956	ATP6	1
Cladtertia	Hoilungia	0.0085	COX1	2
Trichoplax	Cladtertia	0.0337	COX1	2
Trichoplax	Hoilungia	0.0354	COX1	2
Cladtertia	Hoilungia	0.0853	COX2	3
Trichoplax	Cladtertia	0.0583	COX2	3
Trichoplax	Hoilungia	0.0639	COX2	3
Cladtertia	Hoilungia	0.0719	COX3	4
Cladtertia	Trichoplax	0.1136	COX3	4
Hoilungia	Trichoplax	0.1042	COX3	4
Cladtertia	Hoilungia	0.039	CYTB	5
Trichoplax	Cladtertia	0.0608	CYTB	5
Trichoplax	Hoilungia	0.0734	CYTB	5
Cladtertia	Hoilungia	0.0557	NAD1	6
Trichoplax	Cladtertia	0.0855	NAD1	6
Trichoplax	Hoilungia	0.0907	NAD1	6
Cladtertia	Hoilungia	0.1993	NAD2	7
Trichoplax	Cladtertia	0.3048	NAD2	7
Trichoplax	Hoilungia	0.3064	NAD2	7
Cladtertia	Hoilungia	0.0569	NAD3	8
Trichoplax	Cladtertia	0.1138	NAD3	8
Trichoplax	Hoilungia	0.1382	NAD3	8
Cladtertia	Hoilungia	0.0556	NAD4	9
Trichoplax	Cladtertia	0.1515	NAD4	9
Trichoplax	Hoilungia	0.1394	NAD4	9
Cladtertia	Hoilungia	0.0209	NAD4L	10
Trichoplax	Cladtertia	0.0168	NAD4L	10
Trichoplax	Hoilungia	0.0243	NAD4L	10
Cladtertia	Hoilungia	0.1322	NAD5	11
Trichoplax	Cladtertia	0.19	NAD5	11
Trichoplax	Hoilungia	0.2018	NAD5	11
Cladtertia	Hoilungia	0.2829	NAD6	12
Trichoplax	Cladtertia	0.3939	NAD6	12
Trichoplax	Hoilungia	0.3868	NAD6	12
Cladtertia	Hoilungia	0.0932	CONCAT	13
Trichoplax	Cladtertia	0.1473	CONCAT	13
Trichoplax	Hoilungia	0.1508	CONCAT	13
